edificio_cultura_visor;cultura;edificio_cultura_visor.svg;
areas_de_fabricacion_y_procesamiento_visor;fabricacion_y_procesamiento;;
espejo_agua_visor;geografia_fisica;;
rios_poligono;geografia_fisica;;
gobierno_local_visor;gobierno_y_sociedad;gobierno_local_visor.svg;
red_de_cloacas;infraestructura;;
barrios;planeamiento_urbano;;
equipamiento;planeamiento_urbano;equipamiento.svg;
cementerio;planeamiento_urbano;cementerio.svg;
area_cementerio;planeamiento_urbano;;
edificio_comunicaciones;planeamiento_urbano;edificio_comunicaciones.svg;
chacra;planeamiento_y_catastro;;
manzanas;planeamiento_y_catastro;;
parcelas;planeamiento_y_catastro;;
uso_suelo;planeamiento_y_catastro;;
municipio_visor;planeamiento_y_catastro;;
espacio_verde;planeamiento_y_catastro;;
planta_urbana_visor;planeamiento_y_catastro;;
edificio_educativo_visor;salud_y_educacion;edificio_educativo_visor.svg;
edificio_salud_municipio;salud_y_educacion;edificio_salud_municipio.svg;
area_salud;salud_y_educacion;;
edificio_salud_visor;salud_y_educacion;edificio_salud_visor.svg;
edificio_seguridad_visor;seguridad;edificio_seguridad_visor.svg;
cuartel_bomberos_visor;seguridad;bomberos_visor.svg;
riego_calles;servicios;;
recoleccion_residuos_linea;servicios;;
vial_nacional;transporte;;
vial_terciario;transporte;;
vial_urbano;transporte;;
restriccion_aeropuerto;transporte;;
recorrido_colectivos;transporte;;
estacion_de_omnibus;transporte;estacion_de_omnibus.svg;
puntos_de_transporte_ferroviario_visor;transporte;estacion_ferrocarril_visor.svg;
point_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
point_fontana;fontana;;
line_fontana;fontana;;
polygon_fontana;fontana;;
point_fontana;fontana;;
point_fontana;fontana;;
polygon_fontana;fontana;;
point_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
polygon_fontana;fontana;;
point_fontana;fontana;;
point_fontana;fontana;;
polygon_fontana;fontana;;
point_fontana;fontana;;
point_fontana;fontana;;
point_fontana;fontana;;
line_fontana;fontana;;
line_fontana;fontana;;
line_fontana;fontana;;
line_fontana;fontana;;
line_fontana;fontana;;
polygon_fontana;fontana;;
line_fontana;fontana;;
point_fontana;fontana;;
point_fontana;fontana;;
